(3*Sqrt[103565]*Cos[(85*Pi)/1189])/1189,(3*Sqrt[103565]*Sin[(85*Pi)/1189])/1189,694/1189
(4*Sqrt[83065]*Cos[(86*Pi)/1189])/1189,(4*Sqrt[83065]*Sin[(86*Pi)/1189])/1189,-291/1189
(Sqrt[237]*Cos[(3*Pi)/41])/41,(Sqrt[237]*Sin[(3*Pi)/41])/41,38/41
(4*Sqrt[87502]*Cos[(88*Pi)/1189])/1189,(4*Sqrt[87502]*Sin[(88*Pi)/1189])/1189,117/1189
(11*Sqrt[5457]*Cos[(89*Pi)/1189])/1189,(11*Sqrt[5457]*Sin[(89*Pi)/1189])/1189,-868/1189
(4*Sqrt[71131]*Cos[(90*Pi)/1189])/1189,(4*Sqrt[71131]*Sin[(90*Pi)/1189])/1189,525/1189
(27*Sqrt[1649]*Cos[(91*Pi)/1189])/1189,(27*Sqrt[1649]*Sin[(91*Pi)/1189])/1189,-460/1189
(16*Sqrt[2122]*Cos[(92*Pi)/1189])/1189,(16*Sqrt[2122]*Sin[(92*Pi)/1189])/1189,933/1189
(Sqrt[1411017]*Cos[(93*Pi)/1189])/1189,(Sqrt[1411017]*Sin[(93*Pi)/1189])/1189,-52/1189
(4*Sqrt[21147]*Cos[(94*Pi)/1189])/1189,(4*Sqrt[21147]*Sin[(94*Pi)/1189])/1189,-1037/1189
(7*Sqrt[26265]*Cos[(95*Pi)/1189])/1189,(7*Sqrt[26265]*Sin[(95*Pi)/1189])/1189,356/1189
(12*Sqrt[7070]*Cos[(96*Pi)/1189])/1189,(12*Sqrt[7070]*Sin[(96*Pi)/1189])/1189,-629/1189
(15*Sqrt[3689]*Cos[(97*Pi)/1189])/1189,(15*Sqrt[3689]*Sin[(97*Pi)/1189])/1189,764/1189
(44*Sqrt[705]*Cos[(98*Pi)/1189])/1189,(44*Sqrt[705]*Sin[(98*Pi)/1189])/1189,-221/1189
(Sqrt[40137]*Cos[(99*Pi)/1189])/1189,(Sqrt[40137]*Sin[(99*Pi)/1189])/1189,1172/1189
